Total Import,Bulk Import,labels
36.9,21.0,1989
39.4,21.9,1990
42.8,22.7,1991
42.0,23.1,1992
42.1,23.7,1993
41.8,26.5,1994
44.5,27.6,1995
44.1,27.6,1996
48.3,28.4,1997
47.0,28.8,1998
49.2,31.8,1999
50.1,35.0,2000
55.7,36.7,2001
58.2,39.4,2002
63.5,42.8,2003
67.6,46.8,2004
72.9,52.8,2005
78.8,56.0,2006
82.5,57.9,2007
82.1,58.3,2008
62.2,48.2,2009
70.4,50.8,2010
76.2,56.0,2011
73.9,57.1,2012
77.9,61.2,2013
81.1,64.5,2014
77.2,60.7,2015
79.1,59.1,2016
78.4,58.0,2017
79.7,55.4,2018
78.4,55.2,2019
70.1,56.1,2020
73.8,54.9,2021
69.6,50.3,2022
65.6,48.6,2023
