Seaborne Cargo Import,Seaborne Cargo Export,labels
11.8,14.0,1989
13.5,15.0,1990
14.8,15.2,1991
15.0,15.2,1992
15.7,16.6,1993
17.2,17.8,1994
17.7,18.2,1995
18.4,18.6,1996
19.5,20.5,1997
20.1,19.8,1998
21.7,22.0,1999
24.1,24.6,2000
26.2,26.9,2001
29.8,30.3,2002
33.4,33.5,2003
38.0,38.6,2004
43.1,42.7,2005
46.6,45.5,2006
51.0,47.7,2007
50.2,47.7,2008
36.8,36.8,2009
40.4,40.5,2010
46.1,46.5,2011
44.3,47.2,2012
46.8,50.0,2013
49.9,52.7,2014
44.7,47.6,2015
45.6,47.6,2016
45.3,46.4,2017
45.8,45.2,2018
46.1,49.2,2019
42.2,45.6,2020
44.1,44.8,2021
42.4,41.3,2022
38.8,39.3,2023
